"","Year.range","State","Total.subsidy_USA","Total.subsidy_foreign","Total.subsidy_mega.deal_USA","Total.subsidy_mega.deal_foreign","Undisclosed.deal.share_USA","Undisclosed.deal.share_foreign","% total.subsidy.to.foreign","% total.subsidy_mega.to.foreign"
"1","before 2000","Alabama",2.35e+08,515300000,2.35e+08,515300000,0,0,0.686791949886712,0.686791949886712
"2","before 2000","Alaska",289172972,295695941,0,0,0,0,0.50557643674934,NA
"3","before 2000","Arizona",8.2e+07,NA,8.2e+07,NA,0,NA,NA,NA
"4","before 2000","California",2e+08,NA,2e+08,NA,0,NA,NA,NA
"5","before 2000","Colorado",286300000,3e+05,0,0,0,0,0.00104675505931612,NA
"6","before 2000","Connecticut",150825000,344099074,1.35e+08,3.4e+08,0,0,0.695256286926952,0.715789473684211
"7","before 2000","Delaware",258136,178122776,0,1.78e+08,0,0,0.998552894493554,1
"8","before 2000","District of Columbia",8.4e+07,NA,8.4e+07,NA,0,NA,NA,NA
"9","before 2000","Florida",162209942,24302300,0,0,0.0147058823529412,0.0294117647058824,0.130298685702357,NA
"10","before 2000","Georgia",0,0,0,0,0,0,NA,NA
"11","before 2000","Idaho",2482428,NA,0,NA,0,NA,NA,NA
"12","before 2000","Illinois",573679303,250490000,362900000,249300000,0.272727272727273,0,0.303930271472389,0.407219862789938
"13","before 2000","Indiana",893700000,8.6e+07,893700000,8.6e+07,0,0,0.087781974073696,0.087781974073696
"14","before 2000","Iowa",27972875,81502244,0,7.3e+07,0,0,0.744481894557246,1
"15","before 2000","Kansas",1.36e+08,0,1.36e+08,0,0,0,0,0
"16","before 2000","Kentucky",939602232,544121315,5300000,179300000,0,0,0.366726885274673,0.971289274106175
"17","before 2000","Louisiana",3347635,NA,0,NA,0,NA,NA,NA
"18","before 2000","Maine",287336375,NA,287336375,NA,0,NA,NA,NA
"19","before 2000","Maryland",2200000,2500000,0,0,0,0,0.531914893617021,NA
"20","before 2000","Massachusetts",0,0,0,0,1,1,NA,NA
"21","before 2000","Michigan",786500000,1.25e+08,786500000,1.25e+08,0.99348109517601,0.997979797979798,0.13713658804169,0.13713658804169
"22","before 2000","Minnesota",904917737,108100000,8.38e+08,1.08e+08,0,0,0.106710866011224,0.114164904862579
"23","before 2000","Mississippi",NA,1.25e+09,NA,1.25e+09,NA,0,NA,NA
"24","before 2000","Missouri",65676616,8940861,0,0,0.142857142857143,0,0.119822612067143,NA
"25","before 2000","Nebraska",1.6e+08,0,1.6e+08,0,0.983606557377049,1,0,0
"26","before 2000","Nevada",5472527,421953,0,0,0.157894736842105,0,0.0715844315359455,NA
"27","before 2000","New Jersey",396531537,80882934,55179638,0,0,0,0.169418689447308,0
"28","before 2000","New Mexico",743773750,NA,743773750,NA,0,NA,NA,NA
"29","before 2000","New York",2278156151,72659122,1848981995,42500000,0,0,0.0309080525528813,0.0224691538763497
"30","before 2000","North Carolina",337844636,5447194,3.31e+08,0,0,0,0.015867531714926,0
"31","before 2000","North Dakota",0,NA,0,NA,0,NA,NA,NA
"32","before 2000","Ohio",28540109,253026720,0,2.32e+08,0.97489539748954,0.968253968253968,0.898638241225496,1
"33","before 2000","Oregon",665800000,1.21e+08,8.4e+07,1.21e+08,0,0,0.153787493645145,0.590243902439024
"34","before 2000","Pennsylvania",4e+07,4.5e+08,4e+07,4.5e+08,0,0,0.918367346938776,0.918367346938776
"35","before 2000","Rhode Island",1.4e+08,NA,1.4e+08,NA,0,NA,NA,NA
"36","before 2000","South Carolina",0,1.5e+08,0,1.5e+08,1,0.75,1,1
"37","before 2000","Tennessee",2.82e+08,2e+08,2.82e+08,2e+08,0,0,0.4149377593361,0.4149377593361
"38","before 2000","Texas",255151407,28921,2.5e+08,0,0.942196531791908,0.990384615384615,0.000113335538936998,0
"39","before 2000","Utah",1.25e+08,NA,1.25e+08,NA,0,NA,NA,NA
"40","before 2000","Vermont",14245233,756980,0,0,0,0,0.0504578891127596,NA
"41","before 2000","Virginia",100689000,54200000,9.8e+07,54200000,0,0,0.349928012964123,0.35611038107753
"42","before 2000","Wisconsin",18615052,NA,0,NA,0,NA,NA,NA
"43","2001 - 2008","Alabama",51176701,1399691257,5e+07,1397300000,0,0,0.96472683767133,0.965452912319491
"44","2001 - 2008","Alaska",0,NA,0,NA,1,NA,NA,NA
"45","2001 - 2008","Arizona",149227696,10429961,97400000,0,0.81951871657754,0.672413793103448,0.0653270328274954,0
"46","2001 - 2008","California",415599288,16809503,2.9e+08,0,0.213429256594724,0.192307692307692,0.038874100966185,0
"47","2001 - 2008","Colorado",5945491,928000,0,0,0.127272727272727,0,0.135011451968148,NA
"48","2001 - 2008","Connecticut",561754750,198429743,0,0,0,0,0.261028401430441,NA
"49","2001 - 2008","Delaware",2775806,322078,0,0,0,0,0.103967094959011,NA
"50","2001 - 2008","District of Columbia",437213,NA,0,NA,0,NA,NA,NA
"51","2001 - 2008","Florida",1499304924,62344085,829938000,0,0.0411985018726592,0.0769230769230769,0.0399219572648543,0
"52","2001 - 2008","Georgia",59453931,488766330,0,4.81e+08,0,0,0.891551014748067,1
"53","2001 - 2008","Hawaii",0,0,0,0,1,1,NA,NA
"54","2001 - 2008","Idaho",11113153,277327886,0,2.76e+08,0,0,0.961471664924907,1
"55","2001 - 2008","Illinois",539545400,50409094,48400000,0,0.402193784277879,0.447674418604651,0.0854457327008683,0
"56","2001 - 2008","Indiana",1199233560,634223135,2.04e+08,195300000,0.0118203309692671,0.0120481927710843,0.345916615718049,0.489105935386927
"57","2001 - 2008","Iowa",470768770,111812293,5.6e+07,0,0,0,0.191925725193028,0
"58","2001 - 2008","Kansas",235585084,1056141,231173600,0,0,0,0.0044630473832275,0
"59","2001 - 2008","Kentucky",2017708550,290201200,0,0,0,0,0.125742005292885,NA
"60","2001 - 2008","Louisiana",602967246,75093360,115200000,0,0,0,0.110747268511865,0
"61","2001 - 2008","Maine",1386302,1270623,0,0,0.448275862068966,0.5,0.478230661384872,NA
"62","2001 - 2008","Maryland",67047690,22437212,0,0,0.211267605633803,0.138297872340426,0.250737403724262,NA
"63","2001 - 2008","Massachusetts",6.7e+07,0,6.7e+07,0,0.988505747126437,1,0,0
"64","2001 - 2008","Michigan",1600098667,0,1597596000,0,0.973018549747049,1,0,0
"65","2001 - 2008","Minnesota",34203694,39140950,0,0,0.36,0.428571428571429,0.533657917816058,NA
"66","2001 - 2008","Mississippi",118656655,317860733,99750000,317860733,0,0,0.728174276072595,0.76114119653146
"67","2001 - 2008","Missouri",952476614,114144979,702356878,7.8e+07,0.0228310502283105,0.0588235294117647,0.107015439917125,0.0999542673345925
"68","2001 - 2008","Montana",6395700,NA,0,NA,0,NA,NA,NA
"69","2001 - 2008","Nebraska",1317440,2782761,0,0,0.961038961038961,0.791666666666667,0.678688922811345,NA
"70","2001 - 2008","Nevada",35857346,11890831,0,0,0.380281690140845,0.2,0.249032146295344,NA
"71","2001 - 2008","New Hampshire",150794,78280,0,0,0,0,0.341723635157198,NA
"72","2001 - 2008","New Jersey",394065552,384870993,0,118807428,0,0,0.494098005120558,1
"73","2001 - 2008","New Mexico",2504893982,130007870,2.5e+09,127500000,0.0476190476190476,0.2,0.0493406879278325,0.0485252140818268
"74","2001 - 2008","New York",10352318988,1782612308,7454067086,1283800000,0,0,0.146899250149657,0.146923727193897
"75","2001 - 2008","North Carolina",1330460504,207620082,711328797,0,0.00651465798045603,0.008,0.134986478530326,0
"76","2001 - 2008","North Dakota",0,0,0,0,0,0,NA,NA
"77","2001 - 2008","Ohio",960298617,366153271,763758202,282795703,0.466887417218543,0.516483516483517,0.276039616900149,0.270216088869307
"78","2001 - 2008","Oklahoma",288324985,14652088,0,0,0,0,0.0483603853417648,NA
"79","2001 - 2008","Oregon",889747310,5969927,826006537,0,0.0293453724604966,0.0810810810810811,0.00666496831075274,0
"80","2001 - 2008","Pennsylvania",19149893,8813159,0,0,0,0,0.315171569970259,NA
"81","2001 - 2008","Rhode Island",35376003,580259,0,0,0.314285714285714,0.25,0.016137912222355,NA
"82","2001 - 2008","South Carolina",168619182,103800682,1.6e+08,103500000,0.796875,0.878787878787879,0.381031986712981,0.392789373814042
"83","2001 - 2008","South Dakota",0,NA,0,NA,0,NA,NA,NA
"84","2001 - 2008","Tennessee",617081553,799416748,579400000,7.84e+08,0.110236220472441,0.152671755725191,0.564361247334811,0.575033005720992
"85","2001 - 2008","Texas",1597683353,773892363,797280676,233415376,0.920074349442379,0.904761904761905,0.326319905276008,0.226463830483363
"86","2001 - 2008","Utah",167031000,6657611,0,0,0.166666666666667,0.6,0.0383307285473081,NA
"87","2001 - 2008","Vermont",17820602,10873717,0,0,0,0,0.378950167801508,NA
"88","2001 - 2008","Virginia",96190168,77490000,0,35200000,0,0,0.446164930010892,1
"89","2001 - 2008","Washington",3830827709,16677145,3.244e+09,0,0.312267657992565,0.314285714285714,0.00433453514234345,0
"90","2001 - 2008","West Virginia",127932472,747215,127500000,0,0.847457627118644,0.735294117647059,0.00580678285299217,0
"91","2001 - 2008","Wisconsin",26822935,6985592,0,0,0,0,0.206622193270946,NA
"92","2009 - 2016","Alabama",238485876,942218726,229400000,889682722,0,0,0.798013935411086,0.795010685546086
"93","2009 - 2016","Alaska",20314201,2e+05,0,0,0.636363636363636,0.833333333333333,0.00974934388134347,NA
"94","2009 - 2016","Arizona",47044826,10233092,0,0,0.748953974895398,0.485714285714286,0.178656842939019,NA
"95","2009 - 2016","Arkansas",394752396,189954793,226600000,84744325,0,0,0.324871656400996,0.272188436387912
"96","2009 - 2016","California",1589321484,52922529,1.107e+09,0,0.450584484590861,0.391111111111111,0.0322257402560554,0
"97","2009 - 2016","Colorado",477349019,25284013,3e+08,0,0.0057518488085456,0,0.0503031265163647,0
"98","2009 - 2016","Connecticut",2026911201,86389221,1115500000,0,0.0545454545454545,0.0555555555555556,0.0408788168973356,0
"99","2009 - 2016","Delaware",163115705,27521433,0,0,0.032258064516129,0.04,0.144365538051668,NA
"100","2009 - 2016","District of Columbia",77051020,728038,6e+07,0,0,0,0.0093603345003227,0
"101","2009 - 2016","Florida",957125501,285255273,555805000,134570236,0.0430327868852459,0.0458715596330275,0.229603740632258,0.194923324277524
"102","2009 - 2016","Georgia",439123151,236992500,342650000,211500000,0,0,0.350520653751291,0.381665614003429
"103","2009 - 2016","Hawaii",0,0,0,0,1,1,NA,NA
"104","2009 - 2016","Idaho",10836416,1055863,0,0,0,0,0.088785589372735,NA
"105","2009 - 2016","Illinois",915860067,208802970,359837000,117900000,0.284820031298905,0.362068965517241,0.185658248853785,0.246788504972401
"106","2009 - 2016","Indiana",1630867315,700638258,6e+07,5e+07,0,0,0.300508935562386,0.454545454545455
"107","2009 - 2016","Iowa",947677842,327067709,279073242,166890000,0,0,0.256574897432217,0.374223667519217
"108","2009 - 2016","Kansas",349963034,23452900,2.05e+08,0,0.00571428571428571,0,0.0628063718352201,0
"109","2009 - 2016","Kentucky",720503767,612354317,0,0,0,0.0025,0.459429495421059,NA
"110","2009 - 2016","Louisiana",15580617134,3946033521,530407812,284299629,0.00469483568075117,0.00634249471458774,0.20208450444058,0.348959165821587
"111","2009 - 2016","Maine",182406201,79980739,0,0,0.0232558139534884,0.023936170212766,0.304819816870459,NA
"112","2009 - 2016","Maryland",1495604458,28316639,1.335e+09,0,0.146868250539957,0.0444444444444444,0.0185814338129082,0
"113","2009 - 2016","Massachusetts",437778670,51670011,311500000,0,0.196581196581197,0.162162162162162,0.105567780659726,0
"114","2009 - 2016","Michigan",6561040652,3172842068,2831069000,132836452,0.344316309719934,0.276595744680851,0.325958526445036,0.0448180463753875
"115","2009 - 2016","Minnesota",610016446,332129000,5.85e+08,3.22e+08,0.428571428571429,0.25,0.352524126089126,0.355016538037486
"116","2009 - 2016","Mississippi",270945484,1224267646,207550000,1020500000,0.0384615384615385,0.0697674418604651,0.818791395979782,0.830992223443671
"117","2009 - 2016","Missouri",3510016501,25282141,3155752242,0,0.00772200772200772,0,0.007151345207345,0
"118","2009 - 2016","Montana",3636421,240000,0,0,0,0,0.0619127798554388,NA
"119","2009 - 2016","Nebraska",97853115,4022570,57400000,0,0.602150537634409,0.625,0.0394850841984523,0
"120","2009 - 2016","Nevada",2831592770,17869946,1535974011,0,0,0,0.00627133876841363,0
"121","2009 - 2016","New Hampshire",1141090,617854,0,0,0.133333333333333,0,0.351264167591464,NA
"122","2009 - 2016","New Jersey",3355053802,1543410341,838952834,252750000,0,0,0.315080461128936,0.231519047242851
"123","2009 - 2016","New Mexico",100732867,11050792,0,0,0.00403225806451613,0.0238095238095238,0.0988587428507775,NA
"124","2009 - 2016","New York",5766267062,1388326386,2059140234,238010374,0,0,0.194046858999108,0.103611131621545
"125","2009 - 2016","North Carolina",1725219503,796314791,334528500,109900000,0.004720692368214,0.00263157894736842,0.315805655665614,0.247283871308883
"126","2009 - 2016","North Dakota",485719,109211,0,0,0,0,0.183569495570908,NA
"127","2009 - 2016","Ohio",1167382077,151741163,197765000,30705515,0.0551248923341947,0.0644171779141104,0.115031832052326,0.134395963522908
"128","2009 - 2016","Oklahoma",853107244,39066548,304305076,0,0,0,0.0437880470714387,0
"129","2009 - 2016","Oregon",4403211792,99217865,4.021e+09,0,0.0264462809917355,0.0087719298245614,0.0220365164052579,0
"130","2009 - 2016","Pennsylvania",249788757,1722580566,0,1.65e+09,0,0,0.873355991655727,1
"131","2009 - 2016","Rhode Island",254637142,885726,7.5e+07,0,0.263636363636364,0.210526315789474,0.00346632771826904,0
"132","2009 - 2016","South Carolina",1137595241,841617652,1067694920,712772000,0.458904109589041,0.466666666666667,0.425228460756596,0.400328695800762
"133","2009 - 2016","South Dakota",600908,24000,0,0,0,0,0.0384056533121676,NA
"134","2009 - 2016","Tennessee",677757340,1193102428,1.94e+08,1050400000,0.558328811720022,0.587651598676957,0.637729480534748,0.844101575056252
"135","2009 - 2016","Texas",2472443220,493552743,1484300000,98900000,0.643700787401575,0.567375886524823,0.166403713678959,0.0624684183931278
"136","2009 - 2016","Utah",466727668,22772911,0,0,0,0,0.0465227457882128,NA
"137","2009 - 2016","Vermont",945982,11431898,0,0,0,0,0.923574796330228,NA
"138","2009 - 2016","Virginia",271926283,160018608,0,0,0,0.0053475935828877,0.370460703052973,NA
"139","2009 - 2016","Washington",9502071639,46259607,8.7e+09,0,0.377285851780558,0.448140900195695,0.00484478447680364,0
"140","2009 - 2016","West Virginia",11613576,131333010,0,98300000,0.53757225433526,0.40625,0.918755835134111,1
"141","2009 - 2016","Wisconsin",563328532,52197369,83500000,0,0,0,0.0848012551790246,0
"142","2009 - 2016","Wyoming",1142841,NA,0,NA,0,NA,NA,NA
"143","2017 onwards","Alabama",3050000,NA,0,NA,0,NA,NA,NA
"144","2017 onwards","Arkansas",12837375,3408648,0,0,0,0,0.209814303475995,NA
"145","2017 onwards","California",249133798,NA,0,NA,0,NA,NA,NA
"146","2017 onwards","Connecticut",26800000,750000,0,0,0.25,0,0.0272232304900181,NA
"147","2017 onwards","Delaware",2306157,123468,0,0,0,0,0.0508177187837629,NA
"148","2017 onwards","Florida",5e+06,50000,0,0,0,0,0.0099009900990099,NA
"149","2017 onwards","Illinois",83125187,NA,83125187,NA,0,NA,NA,NA
"150","2017 onwards","Indiana",11050000,1325000,0,0,0,0,0.107070707070707,NA
"151","2017 onwards","Iowa",213889943,NA,213889943,NA,0,NA,NA,NA
"152","2017 onwards","Kentucky",102350000,10420000,7.5e+07,0,0,0,0.0924004611155449,0
"153","2017 onwards","Maine",0,NA,0,NA,1,NA,NA,NA
"154","2017 onwards","Maryland",NA,80000,NA,0,NA,0,NA,NA
"155","2017 onwards","Michigan",4.1e+07,NA,0,NA,0,NA,NA,NA
"156","2017 onwards","Missouri",3.2e+07,NA,0,NA,0,NA,NA,NA
"157","2017 onwards","New Jersey",46095000,49790000,0,0,0,0,0.519267872972832,NA
"158","2017 onwards","New York",1.8e+07,NA,0,NA,0,NA,NA,NA
"159","2017 onwards","North Carolina",2675967,6482206,0,0,0,0,0.707805585240637,NA
"160","2017 onwards","Oregon",185600000,NA,1.76e+08,NA,0,NA,NA,NA
"161","2017 onwards","Pennsylvania",13497000,11780000,0,0,0,0,0.466036317600981,NA
"162","2017 onwards","Tennessee",7366849,3142572,0,0,0,0,0.29902427545723,NA
"163","2017 onwards","Texas",602762480,NA,4.6e+08,NA,0,NA,NA,NA
"164","2017 onwards","Virginia",4729171,NA,0,NA,0,NA,NA,NA
"165","2017 onwards","Wisconsin",15000,3255400000,0,3252400000,0,0,0.999995392292534,1
